Light;Alga;Labeling time (sec);ADPG (Levels (nmol/gDW));Glutamic;2PG;FBP;SBP;DHAP;Malic;Aspartic;G6P;F6P;G1P;2OG;R5P;PP;Succinic;RuBP;UDPG;S7P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Sorokiniana;0;18.19051223;1945.696637;6.180705517;59.75804631;59.68765252;30.43058922;1190.210255;1663.616929;362.4456788;87.31529861;59.65685553;56.51622289;11.64869959;34.89642019;17.99106334;1021.71211;89.18864133;76.64429577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Sorokiniana;5;12.03510739;1458.315045;13.742738;86.76902782;35.40746991;48.06589141;1615.284265;1720.54508;289.2096371;106.8587889;70.62488132;25.84151634;18.77845319;54.36811461;50.91823892;2424.386736;74.5782067;48.21604205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Sorokiniana;5;16.42116584;1601.732563;5.386423545;34.90430876;41.06822969;25.90153709;775.4313848;1558.167214;298.0952396;67.52074456;52.41801192;40.7171313;10.183449;19.27143109;50.97801118;881.5460979;73.1701291;62.25809495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Sorokiniana;5;9.712681944;944.1924802;1.989777181;25.49876083;14.75069587;14.36343948;356.7521922;728.649489;169.2263452;36.89219241;42.65437777;18.14102854;3.852269281;5.860926823;18.95953323;563.0712572;41.38473006;40.75927528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Sorokiniana;10;9.29133996;1097.472258;4.473787597;29.25577325;30.58747302;32.72409487;786.3901722;1396.814042;315.8167535;112.4406796;72.49172155;13.96833177;12.08356539;28.22026882;23.27241372;1237.092013;44.15566009;51.88893186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Sorokiniana;10;20.1056973;1502.158488;9.061937163;138.8331335;41.15522308;55.7361057;1416.354185;1085.373501;191.2290882;59.86784137;57.86111195;45.61682068;18.31627356;56.5490038;19.12194088;2355.525328;82.24486826;66.34555399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Sorokiniana;10;11.75272904;1385.994184;6.46795081;51.95415061;28.09539088;53.25391741;1099.426067;1597.364334;296.2075493;116.0751628;83.8938505;19.37322751;14.47179842;33.8121609;20.84189447;1825.878936;61.5588905;56.45198114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Sorokiniana;20;16.16240468;1410.070388;4.99164875;37.34161014;30.33578599;30.42828919;738.4948085;1238.135764;250.8524562;65.80136766;67.3277961;25.62716898;11.9535585;23.7753897;12.63008929;1137.153645;60.22652213;52.38108426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Sorokiniana;20;15.83270921;1459.238303;10.083811;88.48451184;28.67214536;56.63468713;1685.697505;1526.583387;333.8671738;128.5192338;74.70538026;23.11874808;20.89455141;55.65420519;27.10886214;2428.790521;58.34676102;64.76928324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Sorokiniana;20;21.59551385;1360.243975;4.571379484;137.3358329;34.94108745;71.64902478;1785.501548;1352.348743;391.1599172;128.5233039;108.8670779;25.85566172;31.26202745;100.9485781;24.83033562;2812.159709;70.63052818;94.50621491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Sorokiniana;40;14.44307067;845.4716079;11.58320023;87.59628092;22.45440379;45.72497573;986.2666895;792.1966711;290.4162857;106.8799478;74.67834245;12.73628852;16.47365187;47.27366097;41.51350749;2003.435332;54.17822208;64.43725662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Sorokiniana;40;27.28699147;1106.348864;7.013207875;82.78837752;24.01655618;57.49794912;1013.375188;1080.509848;274.554828;86.68457687;76.84342707;39.78891863;28.24141305;59.94203059;47.82291967;1225.399676;75.68015797;103.3659952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Sorokiniana;40;25.47113361;1454.306729;10.4490474;71.19824357;37.97325435;43.64781733;994.6319472;1090.377946;258.6933704;66.48920591;90.25196988;33.67540208;15.09690228;37.10732195;19.54403976;1449.181867;81.79047544;77.92378319;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Ohadii;0;5.426418724;975.4646889;2.474556108;43.13237209;35.12829638;46.42129289;308.2887152;529.354583;162.2429828;37.03965088;38.12551557;21.56189046;15.71706013;19.4977369;57.43255831;175.374822;90.56566832;24.34639111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Ohadii;0;11.92599785;957.4749047;4.538608766;62.64217116;51.41552628;45.50945217;144.4279353;337.2476056;112.3034963;24.09906654;32.44033553;28.35920302;16.046649;17.24192962;37.92222446;215.2704498;130.1656344;42.41196232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Ohadii;0;5.747902695;1128.756729;1.899751233;53.50686317;51.27666452;62.9770943;330.1029081;639.3019256;193.762519;53.13719126;39.32404497;16.535527;14.00558107;25.47255864;42.94982686;214.342471;89.09219291;27.89679153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Ohadii;5;10.46571779;887.9716532;3.471692395;36.32192444;33.23646342;31.29082781;247.8985157;541.0815082;104.538614;23.27359017;24.4094184;30.65399796;13.7745303;11.12787798;31.50663714;353.714701;101.4872951;20.84865034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Ohadii;5;8.545415324;752.756706;4.924195908;27.90272171;26.08541047;51.11782083;389.7943727;724.4777934;144.1921811;48.89555865;38.42764758;34.28813593;24.74985076;32.93288595;70.76490594;335.9119847;114.4645954;20.8860877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Ohadii;5;7.355930299;598.0848927;2.50590536;35.02427167;20.37368076;49.52171025;226.8732528;516.6441087;129.4422416;44.89340963;29.46410746;13.05871695;9.143980818;17.34716744;53.23717358;261.8053379;91.54639006;20.18031702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Ohadii;10;5.725158139;412.930396;5.535291882;24.34680589;21.17738864;33.01259878;147.4881458;339.6844435;117.8155194;48.02554504;33.63085795;15.56944081;10.55586312;10.36570874;46.61963434;227.1196546;85.59169825;39.20650501;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Ohadii;10;5.448705793;433.7401752;2.22826924;20.42487588;18.71755936;37.98883749;123.95624;384.2997917;113.6565503;34.89252514;34.67390402;13.71250665;13.02040113;17.66217692;42.49815943;221.4620442;77.32462376;30.60396303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Ohadii;10;5.987442181;429.72825;3.282976383;22.23972515;24.27987537;35.08744693;137.811888;341.9948411;120.6262791;40.24365278;28.03660003;11.40676802;12.02791065;16.65816548;39.19597337;272.2712848;83.37188877;31.74810526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Ohadii;20;4.845234635;420.4690444;3.386142614;33.30597191;36.48898773;36.66888925;152.2691239;365.5519813;120.7726409;67.8299744;53.85724395;21.06811122;11.62877441;11.24180231;73.96546311;240.1014961;100.324808;76.06708066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Ohadii;20;5.294906057;672.1732324;3.626738204;40.33726982;56.01204588;35.36266532;167.7315199;375.436831;120.6718674;42.59136239;42.02788974;28.25068987;6.656514964;8.204833068;26.62947366;201.2785071;118.2733215;95.036509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Ohadii;20;5.685302079;448.6933036;2.981185253;31.20519871;27.09599212;48.73466981;176.932361;372.2448008;140.2907824;67.4840605;35.67829079;15.54880596;13.04111964;14.47899667;30.59503736;331.4021203;98.64474123;62.05588559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
